main_activity,clustered,tilt_subsector
distributor,cosmetic of argan,Food Related Products
wholesaler,cosmetic of argan,Food Related Products
distributor,ferrero nutella chocolate,Food Related Products
distributor,baby milk,Food Related Products
distributor,oenotourism,Food Related Products
distributor,scotch whisky,Food Related Products
retailer,scotch whisky,Food Related Products
distributor,irish whiskey,Food Related Products
retailer,irish whiskey,Food Related Products
distributor,artistic drawing sundries,Food Related Products
distributor,video game rental for gaming rooms,Food Related Products
distributor,application software for entertainment,Food Related Products
distributor,durablity,Food Related Products
distributor,customer assurance,Food Related Products
distributor,candle jars,Food Related Products
distributor,colloidal silver,Food Related Products
distributor,ecological,Food Related Products
distributor,food garnishing dispensers,Agriculture & Livestock
distributor,steps for building,Construction Residential
distributor,tinned butchered products,Agriculture & Livestock
wholesaler,tinned butchered products,Agriculture & Livestock
distributor,refrigeration unit,Fishing & Forestry
distributor,condensing unit,Fishing & Forestry
distributor,second-hand heat pump,Fishing & Forestry
distributor,international freight transport,Other Transport
distributor,attic clearanecs,Other Transport
distributor,logistics software,Other Transport
distributor,trasporti internazionali,Other Transport
distributor,natural sparkling wines,Food Related Products
distributor,software assistance,Food Related Products
distributor,albariño wine,Food Related Products
distributor,rias baixas wines,Food Related Products
distributor,d.i.y. materials,Other Transport
distributor,standard screws,Other Transport
distributor,fixed size mannequins,Other Industry
distributor,clothing shop preparation,Other Industry
distributor,arches,Other Industry
distributor,tailor's mannequins,Other Industry
distributor,window dressing,Other Industry
distributor,polypropylene bags,Other Industry
distributor,ribbons for wrapping presents,Other Industry
distributor,sachets with extendible gussets,Other Industry
distributor,pens,Machinery & Equipment
distributor,"dishes, aluminium",Other Industry
distributor,"tableware, disposable",Other Industry
wholesaler,"tableware, disposable",Construction Residential
distributor,"utensils, disposable",Other Industry
wholesaler,"utensils, disposable",Construction Residential
distributor,toner for laser printers,Other Industry
distributor,office information technology,Other Industry
distributor,paper cutters,Other Industry
distributor,balloons,Other Industry
distributor,hairdresser,Food Related Products
distributor,salamanca neighborhood hairdresser,Food Related Products
distributor,men's hairdresser madrid,Food Related Products
distributor,lac,Food Related Products
distributor,selection of partners,Food Related Products
distributor,sunflower,Food Related Products
distributor,sublimation printers,Other Industry
distributor,sublimation paper,Other Industry
distributor,expert advice on sublimation printing,Other Industry
distributor,wheat straw,Agriculture & Livestock
wholesaler,wheat straw,Agriculture & Livestock
distributor,wheat hay,Agriculture & Livestock
distributor,special protection cats,Agriculture & Livestock
distributor,refined sugar,Food Related Products
distributor,tourism in spain,Machinery & Equipment
distributor,windsurfing gear,Machinery & Equipment
distributor,aromatic tobacco,Agriculture & Livestock
wholesaler,aromatic tobacco,Agriculture & Livestock
distributor,electronic cigarettes,Agriculture & Livestock
distributor,nicotine substitutes for stopping smoking,Agriculture & Livestock
distributor,bubble gum e-cigarette,Agriculture & Livestock
distributor,blueberry mint e-cigarette,Agriculture & Livestock
distributor,passion fruit e-cigarette,Agriculture & Livestock
distributor,cherry e-cigarette,Agriculture & Livestock
distributor,raspberry e-cigarette,Agriculture & Livestock
distributor,e-cigarette,Agriculture & Livestock
retailer,e-cigarette,Agriculture & Livestock
distributor,deep-frozen filled pasta,Agriculture & Livestock
distributor,italian pasta in barcelona,Food Related Products
retailer,expresso machines for cafés,Food Related Products
missing,dishwashers,Machinery & Equipment
distributor,industrial bakery machines,Machinery & Equipment
distributor,frozen pancakes,Food Related Products
distributor,"shovels, mechanical",Other Transport
missing,"shovels, mechanical",Machinery & Equipment
distributor,mobile workshops,Other Transport
distributor,brake callipers,Other Transport
distributor,centralised lubrication units for industrial vehicles,Other Transport
distributor,greasing installations,Other Transport
distributor,cement silos,Construction Residential
distributor,plaster silos,Construction Residential
distributor,suction filters,Construction Residential
distributor,laminated parquet,Fishing & Forestry
distributor,melamine panels,Fishing & Forestry
distributor,diamond keyhole saws,Construction Residential
distributor,marketing of granite,Construction Residential
wholesaler,marketing of granite,Construction Residential
agent/ representative,marketing of granite,Construction Residential
distributor,pet grooming,Agriculture & Livestock
distributor,polinan,Agriculture & Livestock
distributor,pet plastic tubes,Agriculture & Livestock
distributor,polibond,Agriculture & Livestock
distributor,soy wax,Fishing & Forestry
distributor,fibre-cement sheets,Fishing & Forestry
distributor,catalysts for petroleum refining,Oil Energy
distributor,petroleum storage tank,Oil Energy
distributor,refrigerated tanks for goods storage,Oil Energy
distributor,quail,Agriculture & Livestock
distributor,guaranteed quality,Agriculture & Livestock
missing,guaranteed quality,Agriculture & Livestock
distributor,automatic ice cream dispensers,Food Related Products
distributor,wild mushrooms,Agriculture & Livestock
distributor,"refrigerants, gas",Gas Energy
distributor,paramedical services,Fishing & Forestry
distributor,sanding machines for car bodywork,Machinery & Equipment
distributor,supplementary activities,Renewable Energy
distributor,international guarantee certification,Renewable Energy
distributor,polycarbonate covers,Renewable Energy
distributor,brenntag,Renewable Energy
distributor,heatsaver,Renewable Energy
distributor,symmetrical flexible hose couplings,Other Industry
distributor,lichies,Food Related Products
distributor,protection pants,Food Related Products
distributor,chemical products for petroleum refining,Oil Energy
distributor,geographic publications,Oil Energy
distributor,bottled gas storage rack cupboards,Oil Energy
distributor,bee venom unguent,Oil Energy
distributor,diesel heating for vehicles,Oil Energy
distributor,marine diesel engines,Shipping
missing,marine diesel engines,Shipping
distributor,auctions,Machinery & Equipment
distributor,freight elevators for lifting goods,Machinery & Equipment
multi-category,vintage clothing,Other Industry
distributor,electronic recycling,Other Metals
distributor,electronic scraps,Other Metals
distributor,recycling computer scraps,Other Metals
distributor,recycling laptop scraps,Other Metals
distributor,second-hand clothing for professionals,Other Industry
distributor,used textile sorted rugs,Other Industry
distributor,bale gripper for forklift,Other Industry
distributor,bulk used clothes,Other Industry
multi-category,bulk used clothes,Other Industry
distributor,paramotor,Machinery & Equipment
distributor,bebop,Aviation
distributor,wheelchairs for the disabled,Other Transport
distributor,adjustable orthopedic beds,Other Transport
distributor,clutches for transmissions,Automotive LDV
distributor,dampers,Automotive LDV
distributor,fimwrapping,Machinery & Equipment
distributor,paperwrapping,Machinery & Equipment
distributor,inserting,Machinery & Equipment
distributor,buhrs,Machinery & Equipment
distributor,chrome-plated curtain poles,Construction Residential
distributor,anti-theft,Automotive LDV
distributor,outdoor grill,Other Metals
distributor,lithium metal,Other Metals
distributor,flanges fittings,Iron & Steel
distributor,chrome-plated cylinder tubes,Iron & Steel
distributor,precision steel tubes,Iron & Steel
distributor,plotter repair,Other Industry
distributor,motor vehicle horns,Automotive LDV
distributor,installations changing rooms,Machinery & Equipment
distributor,fire safe lockers,Machinery & Equipment
wholesaler,used steel,Iron & Steel
wholesaler,metal dimpling machine,Iron & Steel
wholesaler,steel welding,Iron & Steel
wholesaler,metal shearing machine,Iron & Steel
wholesaler,eccentric turned parts,Iron & Steel
wholesaler,electrically welded tubes,Iron & Steel
wholesaler,high temperature quenched,Iron & Steel
wholesaler,ball bearing steal,Iron & Steel
wholesaler,roller bearing steel,Iron & Steel
wholesaler,"steel tube, black",Iron & Steel
wholesaler,galvanised steel tube,Iron & Steel
wholesaler,"galvanised tubes, galvanised tube",Iron & Steel
wholesaler,round pipes,Iron & Steel
wholesaler,industrial sharpeners,Iron & Steel
wholesaler,sharpeners for bits,Iron & Steel
wholesaler,abrasives for metal,Iron & Steel
missing,abrasives for metal,Iron & Steel
wholesaler,bearing metals,Iron & Steel
wholesaler,solder wire,Iron & Steel
wholesaler,tin wire,Iron & Steel
wholesaler,tin semi-finished products,Iron & Steel
wholesaler,steel coils,Iron & Steel
wholesaler,electrical steel,Iron & Steel
wholesaler,noble metals,Iron & Steel
retailer,noble metals,Other Metals
wholesaler,lightweight foam sheets,Iron & Steel
wholesaler,perspex objects,Iron & Steel
wholesaler,makrolon panels,Iron & Steel
wholesaler,lexan panels,Iron & Steel
wholesaler,profiles for kapa panels made from rigid pvc,Iron & Steel
wholesaler,aluminium panel connectors for displays,Iron & Steel
wholesaler,container trees,Fishing & Forestry
wholesaler,container plants,Fishing & Forestry
wholesaler,centrifugal fans,Fishing & Forestry
wholesaler,palette recycling,Fishing & Forestry
wholesaler,timber transport,Fishing & Forestry
missing,disposable pallets,Fishing & Forestry
wholesaler,siberian larch,Fishing & Forestry
wholesaler,heat covers,Fishing & Forestry
wholesaler,wood roof building,Fishing & Forestry
wholesaler,"baskets for packaging, coloured",Fishing & Forestry
wholesaler,"baskets for packaging, natural",Fishing & Forestry
wholesaler,larch,Fishing & Forestry
wholesaler,twist caps,Fishing & Forestry
wholesaler,crimp contacts,Total Power
wholesaler,steam boilers for industrial use,Total Power
wholesaler,temperature measuring strips,Construction Buildings
wholesaler,temperature measuring points,Construction Buildings
wholesaler,hard ceramics,Construction Buildings
wholesaler,casting compounds,Construction Buildings
wholesaler,cold air generators,Construction Buildings
wholesaler,cold air curtains,Construction Buildings
wholesaler,plastic condenser films,Construction Buildings
wholesaler,smd inductivity,Construction Buildings
wholesaler,components for smd technology,Construction Buildings
wholesaler,precision resistors,Construction Buildings
wholesaler,resistor chips,Construction Buildings
wholesaler,chip resistor networks,Construction Buildings
wholesaler,compact flash cards (memory cards),Construction Buildings
wholesaler,led light curing devices,Construction Buildings
wholesaler,fluorescent light curing devices,Construction Buildings
wholesaler,fingernail cosmetics,Construction Buildings
wholesaler,artificial nails,Construction Buildings
wholesaler,guillotines,Construction Buildings
wholesaler,plate forming presses for prototypes,Construction Buildings
wholesaler,plate forming presses for small batches,Construction Buildings
wholesaler,hydraulic spotting presses,Construction Buildings
wholesaler,workshop presses,Construction Buildings
wholesaler,natural terracotta,Construction Buildings
wholesaler,door glass,Construction Residential
wholesaler,stained glass,Construction Residential
wholesaler,grandfather (pendulum) clocks,Construction Residential
wholesaler,handmade glass,Construction Residential
wholesaler,glassware,Construction Residential
agent/ representative,"linen, commercial",Machinery & Equipment
agent/ representative,"linen, industrial",Machinery & Equipment
wholesaler,lorry tarpaulins,Construction Buildings
missing,propane,Oil Energy
retailer,glazed stoneware tiles,Construction Residential
wholesaler,square nuts,Iron & Steel
wholesaler,"sewing machines, domestic",Machinery & Equipment
missing,"sewing machines, domestic",Other Industry
wholesaler,stuffing machines,Machinery & Equipment
wholesaler,window-washer fluid,Construction Residential
wholesaler,brake shoes,Automotive LDV
wholesaler,bmw car parts,Automotive LDV
wholesaler,audi car parts,Automotive LDV
wholesaler,car parts of all brands,Automotive LDV
wholesaler,design of electrical installations,Construction Residential
missing,design of electrical installations,Renewable Energy
wholesaler,wooden windows with aluminium clad,Construction Residential
wholesaler,signage,Construction Residential
wholesaler,landrover,Other Transport
wholesaler,automated guided carts,Other Transport
wholesaler,heating system management,Construction Buildings
wholesaler,state education office,Other Industry
wholesaler,educational services,Other Industry
wholesaler,exercise books,Other Industry
wholesaler,brushes for artists,Other Industry
wholesaler,football goods,Other Industry
wholesaler,cartridges for cash registers,Other Industry
wholesaler,hand wrenches,Other Industry
wholesaler,14 ct gold jewellery,Other Metals
wholesaler,abrasion materials,Other Metals
wholesaler,gold-leaf gilding,Other Metals
wholesaler,abramowicz watches,Other Metals
wholesaler,pandora watches,Other Metals
wholesaler,citizen watches,Other Metals
wholesaler,casio watches,Other Metals
wholesaler,makeup products,Machinery & Equipment
subcontractor,makeup products,no_match
wholesaler,lipsticks,Machinery & Equipment
wholesaler,liftin chains for loading,Machinery & Equipment
wholesaler,lifting chains for unloading,Machinery & Equipment
wholesaler,engineering,Machinery & Equipment
wholesaler,lifting beam,Machinery & Equipment
wholesaler,lan cables,Machinery & Equipment
wholesaler,coaxial cables,Machinery & Equipment
wholesaler,track mobile crane,Machinery & Equipment
wholesaler,magnets for name badges,Machinery & Equipment
wholesaler,dismountable - fitted lockers for dressing rooms,Construction Residential
wholesaler,fence posts,Construction Residential
wholesaler,haircare,Food Related Products
wholesaler,foil-stamping,Other Industry
wholesaler,holograms,Other Industry
missing,cartoning,Other Industry
wholesaler,non woven gift bags,Other Industry
wholesaler,plastic sachets,Other Industry
wholesaler,recycled cardboard,Other Industry
wholesaler,film carrier bags,Other Industry
wholesaler,dental bags,Other Industry
wholesaler,price labelling material,Other Industry
multi-category,park benches,Construction Buildings
wholesaler,bitters,Other Industry
wholesaler,surfactants,Construction Buildings
wholesaler,calcium oxide,Construction Buildings
wholesaler,dispergents,Construction Buildings
wholesaler,burglar alarms,Construction Residential
retailer,non-food products,Food Related Products
subcontractor,asbestos disposal,Construction Buildings
wholesaler,bins with pick opening,Other Transport
wholesaler,nest containers,Other Transport
wholesaler,mesh box,Other Transport
wholesaler,pallet disposal,Other Transport
wholesaler,nanotechnology,Machinery & Equipment
wholesaler,nitrous oxide,Machinery & Equipment
wholesaler,disposable n2o container,Machinery & Equipment
wholesaler,laughing gas,Machinery & Equipment
wholesaler,laughing gas technical,Machinery & Equipment
wholesaler,laughing gas bottle,Machinery & Equipment
wholesaler,nitrous oxide tank,Machinery & Equipment
wholesaler,exhausters for wood working,Automotive LDV
wholesaler,"machines for fixing rivets, leather goods",Other Metals
wholesaler,"machines for fixing eyelets, leather goods",Other Metals
wholesaler,grease nipples,Other Metals
wholesaler,grease guns,Other Metals
wholesaler,button head couplers,Other Metals
wholesaler,push guns,Other Metals
wholesaler,beauty care - instruments,Agriculture & Livestock
wholesaler,grain dispensers,Agriculture & Livestock
wholesaler,design schools,Agriculture & Livestock
wholesaler,premium coffee,Agriculture & Livestock
wholesaler,chromium ores,Agriculture & Livestock
wholesaler,expertise produits,Agriculture & Livestock
wholesaler,engagement,Agriculture & Livestock
wholesaler,rice starch,Agriculture & Livestock
wholesaler,"starches, pregelled",Agriculture & Livestock
wholesaler,broad beans,Agriculture & Livestock
wholesaler,best basmati rice brand,Agriculture & Livestock
wholesaler,white basmati rice,Agriculture & Livestock
wholesaler,pop music,Agriculture & Livestock
wholesaler,kitchens for communities,Agriculture & Livestock
missing,kitchens for communities,Machinery & Equipment
wholesaler,machines for roasting tobacco leaves,Agriculture & Livestock
wholesaler,cigarette tobacco,Agriculture & Livestock
retailer,cigarette tobacco,Agriculture & Livestock
wholesaler,professional scales,Agriculture & Livestock
wholesaler,powered hand vibrators,Agriculture & Livestock
wholesaler,jujubes,Agriculture & Livestock
wholesaler,corpse dressing,Agriculture & Livestock
wholesaler,forest cultivation,Agriculture & Livestock
wholesaler,laminated beams,Fishing & Forestry
wholesaler,jet fuel,Oil Energy
wholesaler,erotic nudes,Other Metals
wholesaler,bronze bushings,Other Metals
wholesaler,photometers,Construction Buildings
wholesaler,spectrophotometers,Construction Buildings
wholesaler,stepladders,Construction Buildings
wholesaler,industrial ladders,Construction Buildings
wholesaler,technical consultants on building constructions,Construction Buildings
wholesaler,laser welding under high vacuum,Construction Buildings
wholesaler,welding of sensitive components,Construction Buildings
wholesaler,welding of reactive metals,Construction Buildings
wholesaler,shopping trolley disinfection,Construction Buildings
wholesaler,titanium lightweight construction,Construction Buildings
wholesaler,lightweight construction of highly stressed components,Construction Buildings
wholesaler,titanium matrix composite,Construction Buildings
wholesaler,camel,Food Related Products
retailer,whiskey,Food Related Products
wholesaler,draught beers,Food Related Products
wholesaler,stouts,Food Related Products
wholesaler,exercise ball,Food Related Products
wholesaler,power band,Food Related Products
wholesaler,dumbbells,Food Related Products
wholesaler,fitness mat,Food Related Products
wholesaler,wetsuits,Food Related Products
wholesaler,above-ground swimming pools,Food Related Products
wholesaler,zp 130-10,Food Related Products
wholesaler,mexico,Agriculture & Livestock
wholesaler,rape seeds,Agriculture & Livestock
wholesaler,wheat grains,Agriculture & Livestock
wholesaler,oat grains,Agriculture & Livestock
wholesaler,forrage grains,Agriculture & Livestock
wholesaler,fresh skimmed butter,Agriculture & Livestock
wholesaler,eggs for consumption,Agriculture & Livestock
wholesaler,spain,Agriculture & Livestock
agent/ representative,spain,Fishing & Forestry
wholesaler,cbd france,Fishing & Forestry
wholesaler,cbd store,Fishing & Forestry
wholesaler,cbd shop,Fishing & Forestry
wholesaler,hawaiian flower garlands,Fishing & Forestry
wholesaler,promotional items with lights,Fishing & Forestry
wholesaler,espresso cups,Food Related Products
wholesaler,capocollo,Agriculture & Livestock
wholesaler,class a eggs,Agriculture & Livestock
wholesaler,computer cases,Construction Residential
wholesaler,gaming chassis,Construction Residential
wholesaler,server,Construction Residential
wholesaler,car with driver in spain,Other Transport
wholesaler,madrid airport transfer,Other Transport
wholesaler,de-stocking of french wines,Food Related Products
wholesaler,de-stocking of bordeaux wines,Food Related Products
wholesaler,tikonderoga,Food Related Products
wholesaler,aisi 316 sheets,Food Related Products
wholesaler,prestigious wines,Food Related Products
wholesaler,fibre optic cable components,Food Related Products
wholesaler,fibre optic patch cables,Food Related Products
wholesaler,fibre optic technology,Food Related Products
wholesaler,wines - new zealand,Food Related Products
wholesaler,24-hr assistance,Food Related Products
wholesaler,new product launches,Food Related Products
wholesaler,foam board,Other Industry
wholesaler,materials for bookbinding,Other Industry
wholesaler,matboard,Other Industry
wholesaler,rectractable covers,Other Industry
wholesaler,chargers,Other Industry
wholesaler,ni-mh rechargeable batteries/cells,Other Industry
wholesaler,lifepo4 rechargeable batteries,Other Industry
wholesaler,repair of rechargeable battery packs,Other Industry
wholesaler,bags for packing,Other Industry
wholesaler,thermotransfer,Other Industry
wholesaler,cleaning product dispensers,Other Industry
wholesaler,handkerchiefs made of paper,Other Industry
wholesaler,handkerchies of cellulose,Other Industry
wholesaler,waste paper,Other Industry
wholesaler,printed polypropylene adhesive tapes,Other Industry
wholesaler,dog apparel,Agriculture & Livestock
wholesaler,dog's beds,Agriculture & Livestock
wholesaler,dog basket,Agriculture & Livestock
retailer,dog basket,Agriculture & Livestock
wholesaler,decelerators,Other Industry
wholesaler,activators,Other Industry
wholesaler,polyethylene glycol,Other Industry
wholesaler,vulcanization accelerators,Other Industry
wholesaler,set of luggage,Machinery & Equipment
wholesaler,leather straps,Machinery & Equipment
wholesaler,banquets organised,Machinery & Equipment
wholesaler,ladies socks,Machinery & Equipment
wholesaler,men's dress socks,Machinery & Equipment
wholesaler,tights,Machinery & Equipment
wholesaler,ladies' stockings,Machinery & Equipment
wholesaler,knee-length socks,Machinery & Equipment
wholesaler,non-skid slipper socks,Machinery & Equipment
wholesaler,promotional socks,Machinery & Equipment
wholesaler,sports socks,Machinery & Equipment
wholesaler,sports stockings,Machinery & Equipment
wholesaler,cross trainer,Machinery & Equipment
wholesaler,treadmills (fitness),Machinery & Equipment
wholesaler,bicycle ergometer,Machinery & Equipment
wholesaler,promotional balloons,Machinery & Equipment
wholesaler,logistical services,Food Related Products
wholesaler,transportation,Food Related Products
wholesaler,methylated spirit,Food Related Products
wholesaler,marketing of fresh seafood,Agriculture & Livestock
wholesaler,silicone oven mats,Food Related Products
wholesaler,clothing for hunting,Fishing & Forestry
missing,clothing for hunting,Fishing & Forestry
wholesaler,military clothing,Fishing & Forestry
wholesaler,bonding,Shipping
wholesaler,play area safety flooring,Other Industry
wholesaler,floor mat,Other Industry
wholesaler,kitchen utensils - metal,Construction Residential
wholesaler,decoration hire for parties,Construction Residential
wholesaler,decoration hire for events,Construction Residential
wholesaler,dinner services,Construction Residential
wholesaler,rubber extruders,Other Transport
wholesaler,mini-shovels,Other Transport
wholesaler,heat-shrink sleeves,Other Industry
wholesaler,plyolefin shrink film,Other Industry
wholesaler,shrink-wrap film made of polyethylene (pe),Other Industry
wholesaler,wood slotting machines,Fishing & Forestry
wholesaler,swan woods treated,Fishing & Forestry
wholesaler,travertine tiling,Construction Residential
wholesaler,covering mosaic,Construction Residential
wholesaler,big bags for foodstuffs,Other Transport
wholesaler,bedrijven,Fishing & Forestry
wholesaler,experience,Agriculture & Livestock
wholesaler,integral service,Agriculture & Livestock
wholesaler,cocopeat,Agriculture & Livestock
wholesaler,belgium beer,Food Related Products
wholesaler,german beer,Food Related Products
multi-category,german beer,Food Related Products
wholesaler,car-grade gas,Oil Energy
wholesaler,industrial carbon,Coal Energy
wholesaler,short flame coal,Coal Energy
wholesaler,porcini mushrooms in oil,Agriculture & Livestock
wholesaler,fresh food from rungis,Food Related Products
wholesaler,fournisseur des restaurants,Food Related Products
wholesaler,aquarium decoration,Agriculture & Livestock
wholesaler,terrarium decoration,Agriculture & Livestock
wholesaler,sorted textiles,Other Industry
wholesaler,"clothes, sorted",Other Industry
wholesaler,crimping tools,Other Industry
wholesaler,cable testers,Other Industry
wholesaler,wiring testers,Other Industry
wholesaler,electrolytic capacitors,Agriculture & Livestock
wholesaler,electrolytic aluminium capacitors,Agriculture & Livestock
wholesaler,dc capacitors,Agriculture & Livestock
wholesaler,"capacitors, bank",Agriculture & Livestock
wholesaler,film capacitors,Agriculture & Livestock
wholesaler,gianduiotti,Food Related Products
wholesaler,"hand tools, non-powered - do-it-yourself",Fishing & Forestry
wholesaler,log band saw,Fishing & Forestry
wholesaler,wood cut,Fishing & Forestry
wholesaler,umbrellas,Food Related Products
wholesaler,cloth cap,Food Related Products
wholesaler,petrochemical products,Oil Energy
wholesaler,plant-based butter for cosmetic uses,Oil Energy
wholesaler,candle ends,Oil Energy
wholesaler,"oil booms, absorbent",Oil Energy
wholesaler,chemical absorbents,Oil Energy
wholesaler,nonwoven binders,Oil Energy
wholesaler,items for pharmacies,no_match
wholesaler,magnetic stirrers,no_match
wholesaler,steam sterilisers,no_match
wholesaler,pheasant feathers,Agriculture & Livestock
wholesaler,used machines for pvc joinery,Machinery & Equipment
wholesaler,used wood sanding machines,Machinery & Equipment
wholesaler,used surface planing machine,Machinery & Equipment
wholesaler,edge bander,Machinery & Equipment
wholesaler,combined unit,Machinery & Equipment
wholesaler,machine tools dealer,Machinery & Equipment
wholesaler,cnc lathes,Machinery & Equipment
wholesaler,cnc milling machines,Machinery & Equipment
wholesaler,cnc grinding machine,Machinery & Equipment
wholesaler,"eroding machine, used",Machinery & Equipment
wholesaler,maintenance of industrial machines,Machinery & Equipment
wholesaler,bying,Machinery & Equipment
wholesaler,luk sachs conti dayco trw kyb mahle rts dolz snr,Automotive LDV
wholesaler,car mats,Automotive LDV
wholesaler,car rubber boot mats,Automotive LDV
wholesaler,genuine mercedes bmw volvo audi parts,Automotive LDV
wholesaler,fast shipping easy payment modes,Automotive LDV
wholesaler,mercedes spare parts,Automotive LDV
wholesaler,bmw spare parts,Automotive LDV
wholesaler,truck spare parts,Automotive LDV
wholesaler,green mnky,Automotive LDV
wholesaler,rowing machines,Shipping
wholesaler,battery disposal,Other Metals
wholesaler,recycling of batteries,Other Metals
wholesaler,recycling of accumulators,Other Metals
wholesaler,second-hand clothing sorting,Other Industry
wholesaler,original clothing,Other Industry
wholesaler,sorting,Other Industry
wholesaler,second-hand boots,Other Industry
wholesaler,wildlife cameras,Other Transport
wholesaler,purchasing of electrical articles,Other Transport
wholesaler,products from insolvency proceedings,Other Transport
wholesaler,action cameras,Other Transport
wholesaler,autotextiles,Automotive LDV
wholesaler,"vinyl,leather",Automotive LDV
wholesaler,hengtai,Machinery & Equipment
wholesaler,graphics drawing goods,Other Industry
wholesaler,technical drawing goods,Other Industry
wholesaler,hydrogen generators,Bioenergy & Waste Energy
wholesaler,professional abrasives,Bioenergy & Waste Energy
wholesaler,trampolines,Construction Residential
wholesaler,shears for cutting sheetmetal,Iron & Steel
wholesaler,electronic sirens,Automotive LDV
missing,solder,Iron & Steel
missing,lock washers,Iron & Steel
missing,steel stock,Iron & Steel
missing,metal stock,Iron & Steel
missing,professional buffets,Iron & Steel
missing,folding machines for bookbinding,Iron & Steel
missing,industrial saw blades,Iron & Steel
missing,industrial grinding work,Iron & Steel
subcontractor,industrial grinding work,Automotive LDV
missing,electrical isolation meters,Fishing & Forestry
missing,bamboo furniture,Fishing & Forestry
missing,wicker furniture,Fishing & Forestry
missing,wicker furniter,Fishing & Forestry
missing,rush furniture,Fishing & Forestry
missing,"tables, cane",Fishing & Forestry
missing,"chairs, cane",Fishing & Forestry
missing,heather,Fishing & Forestry
missing,antique ceramics,Construction Buildings
missing,antiquarians,Construction Buildings
missing,perfume bottle designer,Construction Residential
missing,eyeglass cases,Construction Residential
missing,glass sculptures,Construction Residential
missing,crystals for furnishing,Construction Residential
missing,glass components for centre lights,Construction Residential
missing,crystal lampshades,Construction Residential
missing,glass microbeads,Construction Residential
missing,toy boats,Other Transport
missing,welding gases,Machinery & Equipment
missing,tubular sections,Iron & Steel
missing,metal fastening pins,Iron & Steel
missing,welded pipes,Iron & Steel
missing,seamless pipes,Iron & Steel
subcontractor,seamless pipes,Iron & Steel
missing,drilling rods,Iron & Steel
missing,steel laminates,Iron & Steel
missing,dies for machining sheet metal,Iron & Steel
missing,concrete flooring,Iron & Steel
missing,bridal bouquet,Fishing & Forestry
missing,crown,Fishing & Forestry
missing,machines for pharmaceutical laboratories,Machinery & Equipment
missing,drum driers,Machinery & Equipment
missing,fitted kitchens,Machinery & Equipment
missing,minicomputers maintenance,Automotive HDV
missing,mainframes maintenance,Automotive HDV
missing,dehumidifying system,Construction Residential
missing,concrete edging,Construction Residential
missing,acrylic colours,Construction Residential
missing,alu­minium finished elements,Construction Residential
missing,transport with trailer trucks,Other Transport
missing,pallets for packing,Other Industry
missing,custom bodywork,Other Transport
missing,office room divider screen,Construction Buildings
missing,melamine room divider screen,Construction Buildings
missing,work for the disabled,Other Industry
missing,printed materials,Other Industry
missing,catalogues,Other Industry
missing,free samples,Other Industry
missing,factory furniture,Other Industry
missing,sleeping bags,Other Industry
missing,stole,Other Metals
missing,crucifix,Other Metals
missing,watchmaking,Other Metals
missing,pearl necklaces,Other Metals
missing,mini-lifts,Machinery & Equipment
agent/ representative,mini-lifts,Machinery & Equipment
missing,lifting heads,Machinery & Equipment
missing,alarm devices for elevators,Machinery & Equipment
missing,weighing hook blocks,Machinery & Equipment
missing,load rotators,Machinery & Equipment
missing,telescopic lift rental,Machinery & Equipment
missing,low-carbon annealed steel wire without coating,Iron & Steel
missing,twist tie coated nylon wire,Iron & Steel
missing,wire nylon,Iron & Steel
missing,mjdmetal,Iron & Steel
missing,company signage,Iron & Steel
missing,"hockey, articles",Automotive HDV
missing,energy-saving devices,Other Industry
missing,central heating installation,Total Power
missing,hydraulic turbines,Total Power
missing,industrial machine assembly,Total Power
subcontractor,industrial machine assembly,Machinery & Equipment
missing,adaptive predictive control system,Machinery & Equipment
missing,slips,Construction Residential
missing,feed fodder for cows,Construction Residential
missing,resource centres,Other Industry
missing,"archives, international",Other Industry
missing,christmas boxes,Other Industry
missing,special bag,Other Industry
missing,christmas wrapping paper,Other Industry
missing,metal structures supplied,Construction Buildings
missing,revolving doors,Construction Residential
missing,wall demolition,Other Transport
missing,isothermal containers for foods,Other Transport
missing,"screen printing, paper",Other Industry
missing,"screen printing, cardboard",Other Industry
missing,technical self-adhesive tapes,Other Industry
missing,fruit harvesting,Agriculture & Livestock
missing,vegetable harversing,Agriculture & Livestock
missing,vibrating conveyors,Agriculture & Livestock
missing,work timber,Fishing & Forestry
missing,marble polishing,Construction Buildings
missing,polishing marble,Construction Buildings
missing,"aerials, radio",Construction Buildings
missing,self-supporting roofing,Construction Buildings
missing,metal laminates for construction work,Construction Buildings
missing,epdm,Construction Buildings
missing,blackboards,Construction Buildings
missing,working of slate,Construction Buildings
missing,slate roofs,Construction Buildings
missing,rehabilitation swimming pools,Construction Buildings
missing,wooden floor coverings,Construction Buildings
missing,magnesite,Construction Buildings
missing,blow moulding plastic materials,Construction Buildings
agent/ representative,blow moulding plastic materials,Construction Buildings
missing,customised coffee blends,Food Related Products
missing,halogenerator,Food Related Products
missing,salt room,Food Related Products
missing,packaged corn,Agriculture & Livestock
missing,"stenotypists, conference",Fishing & Forestry
missing,institutional films,Food Related Products
missing,food gelatins,Food Related Products
missing,red meats,Agriculture & Livestock
missing,friction-resistant,Iron & Steel
missing,road passenger transport services,Other Transport
missing,joint cargo service,Other Transport
missing,promotional boxes,Other Transport
missing,exhibition service,Other Transport
